dataset,model,tuner,seed,best_loss,n_evals,elapsed,stopped,error
breast_cancer,RandomForest,RandomSearch,0,-0.9578297595841455,60,55.25026345252991,budget,
breast_cancer,RandomForest,RandomSearch,1,-0.9560753736192332,60,41.28116989135742,budget,
breast_cancer,RandomForest,RandomSearch,2,-0.9595934280144807,60,41.079705476760864,budget,
breast_cancer,RandomForest,GridSearch,0,-0.9490485472941613,4,0.3561084270477295,budget,
breast_cancer,RandomForest,GridSearch,1,-0.9402673350041771,4,0.34426188468933105,budget,
breast_cancer,RandomForest,GridSearch,2,-0.9437668244685788,4,0.3600764274597168,budget,
breast_cancer,RandomForest,Bayes,0,-0.9718926946997123,60,61.03325915336609,budget,
breast_cancer,RandomForest,Bayes,1,-0.9613478139793931,60,61.28042221069336,budget,
breast_cancer,RandomForest,Bayes,2,-0.9595934280144807,60,53.3038547039032,budget,
breast_cancer,RandomForest,Optuna-TPE,0,-0.9560660911538105,60,48.92399287223816,budget,
breast_cancer,RandomForest,Optuna-TPE,1,-0.9578390420495685,60,48.597331285476685,budget,
breast_cancer,RandomForest,Optuna-TPE,2,-0.9631021999443052,60,26.105003595352173,budget,
breast_cancer,RandomForest,DE,0,-0.9560753736192332,60,41.5429208278656,budget,
breast_cancer,RandomForest,DE,1,-0.9560753736192332,60,42.20984745025635,budget,
breast_cancer,RandomForest,DE,2,-0.9613385315139701,60,33.60736870765686,budget,
breast_cancer,RandomForest,PSO,0,-0.9560846560846561,60,26.450121879577637,budget,
breast_cancer,RandomForest,PSO,1,-0.9560660911538105,60,25.566907167434692,budget,
breast_cancer,RandomForest,PSO,2,-0.9578204771187228,60,38.77550745010376,budget,
breast_cancer,RandomForest,HDGPSO,0,-0.9718926946997123,60,19.219979524612427,budget,
breast_cancer,RandomForest,HDGPSO,1,-0.956093938550079,60,20.093538284301758,budget,
breast_cancer,RandomForest,HDGPSO,2,-0.9613385315139701,60,48.89486837387085,budget,
breast_cancer,RandomForest,HDGPSO-MF,0,-0.9560753736192332,117,36.19817352294922,budget,
breast_cancer,RandomForest,HDGPSO-MF,1,-0.9595934280144807,117,31.591522693634033,budget,
breast_cancer,RandomForest,HDGPSO-MF,2,-0.9560753736192332,117,39.8135461807251,budget,
breast_cancer,GradientBoosting,RandomSearch,0,-0.975392184164114,60,150.87015748023987,budget,
breast_cancer,GradientBoosting,RandomSearch,1,-0.9701290262693772,60,112.43594455718994,budget,
breast_cancer,GradientBoosting,RandomSearch,2,-0.973628515733779,60,122.81204962730408,budget,
breast_cancer,GradientBoosting,GridSearch,0,-0.9736377981992016,32,43.23795247077942,budget,
breast_cancer,GradientBoosting,GridSearch,1,-0.9736470806646246,32,43.776979207992554,budget,
breast_cancer,GradientBoosting,GridSearch,2,-0.9736377981992016,32,43.5033495426178,budget,
breast_cancer,GradientBoosting,Bayes,0,-0.9754014666295369,60,102.01917266845703,budget,
breast_cancer,GradientBoosting,Bayes,1,-0.9789102385593614,60,113.00270414352417,budget,
breast_cancer,GradientBoosting,Bayes,2,-0.9736470806646246,60,112.58239126205444,budget,
