iteration,loss,elapsed,optimizer,lr,weight_decay,momentum,batch_size,optim,scheduler,running_best,tuner,seed
1,-0.3334,89.378427028656,GridSearch,0.00010000000000000009,1.0000000000000004e-06,0.5,32,sgd,cosine,-0.3334,GridSearch,0
2,-0.3072,159.35759162902832,GridSearch,0.00010000000000000009,1.0000000000000004e-06,0.5,32,sgd,step,-0.3334,GridSearch,0
3,-0.3944,227.07964658737183,GridSearch,0.00010000000000000009,1.0000000000000004e-06,0.5,32,sgd,none,-0.3944,GridSearch,0
4,-0.7766,299.02857303619385,GridSearch,0.00010000000000000009,1.0000000000000004e-06,0.5,32,adam,cosine,-0.7766,GridSearch,0
5,-0.7502,370.49903082847595,GridSearch,0.00010000000000000009,1.0000000000000004e-06,0.5,32,adam,step,-0.7766,GridSearch,0
6,-0.7482,441.57470059394836,GridSearch,0.00010000000000000009,1.0000000000000004e-06,0.5,32,adam,none,-0.7766,GridSearch,0
7,-0.7678,511.79050517082214,GridSearch,0.00010000000000000009,1.0000000000000004e-06,0.5,32,adamw,cosine,-0.7766,GridSearch,0
8,-0.7534,580.6696040630341,GridSearch,0.00010000000000000009,1.0000000000000004e-06,0.5,32,adamw,step,-0.7766,GridSearch,0
9,-0.7416,650.6539697647095,GridSearch,0.00010000000000000009,1.0000000000000004e-06,0.5,32,adamw,none,-0.7766,GridSearch,0
10,-0.7914,720.2393503189087,GridSearch,0.00010000000000000009,1.0000000000000004e-06,0.5,32,rmsprop,cosine,-0.7914,GridSearch,0
11,-0.742,791.4551661014557,GridSearch,0.00010000000000000009,1.0000000000000004e-06,0.5,32,rmsprop,step,-0.7914,GridSearch,0
12,-0.7784,862.8668575286865,GridSearch,0.00010000000000000009,1.0000000000000004e-06,0.5,32,rmsprop,none,-0.7914,GridSearch,0
1,-0.53,80.07597303390503,RandomSearch,0.022703989398041757,1.1999049779393521e-05,0.5200770267287353,34,rmsprop,none,-0.53,RandomSearch,0
2,-0.4586,155.45455169677734,RandomSearch,0.017535878919144307,0.000827915939467036,0.7663762458180572,428,rmsprop,cosine,-0.53,RandomSearch,0
3,-0.1,177.9476022720337,RandomSearch,0.14842692860126866,1.362518165784107e-06,0.8575311687506726,52,rmsprop,step,-0.53,RandomSearch,0
4,-0.7202,253.43487811088562,RandomSearch,0.0012841781997338059,4.906241083254892e-05,0.5138766388612769,45,adamw,step,-0.7202,RandomSearch,0
5,-0.3664,341.1527841091156,RandomSearch,0.01889257123808924,3.4253915105989445e-05,0.9886328685367134,486,adamw,step,-0.7202,RandomSearch,0
6,-0.3812,412.0925815105438,RandomSearch,0.03520009259982841,3.594890744699992e-05,0.5661972874609815,237,adamw,cosine,-0.7202,RandomSearch,0
7,-0.6662,482.6378743648529,RandomSearch,0.006267443381835693,0.0036136936901034014,0.9576813228185623,86,adamw,cosine,-0.7202,RandomSearch,0
8,-0.615,558.9437837600708,RandomSearch,0.015786940977753662,2.24721643300302e-05,0.691893310258799,378,sgd,step,-0.7202,RandomSearch,0
9,-0.6838,633.2816472053528,RandomSearch,0.00020453622482872986,0.0021408024377044,0.8856781706694549,62,rmsprop,cosine,-0.7202,RandomSearch,0
10,-0.4572,709.0024180412292,RandomSearch,0.0017510031400721276,3.991332124700084e-06,0.7206662896581506,292,sgd,cosine,-0.7202,RandomSearch,0
11,-0.6798,785.9361796379089,RandomSearch,0.0031363543259874194,6.223750555365431e-06,0.5444689923533698,160,adam,none,-0.7202,RandomSearch,0
12,-0.739,862.7664589881897,RandomSearch,0.0005470180318866714,0.0058674911338673025,0.678903982439966,43,adamw,none,-0.739,RandomSearch,0
13,-0.6798,932.8659956455231,RandomSearch,0.004255414664767743,0.006582062089886358,0.7449489487069471,104,adamw,none,-0.739,RandomSearch,0
14,-0.1,956.8185691833496,RandomSearch,0.3236787508578351,6.921186583374593e-05,0.8712871342010629,127,adamw,none,-0.739,RandomSearch,0
15,-0.588,1147.4186115264893,RandomSearch,0.003418216363600826,0.0008668307061856431,0.8484600102149774,425,sgd,none,-0.739,RandomSearch,0
16,-0.1,1211.5937683582306,RandomSearch,0.2694717813494228,0.007442258653061453,0.5072060894330309,351,rmsprop,none,-0.739,RandomSearch,0
17,-0.7664,1492.6897296905518,RandomSearch,0.0003550370030909668,0.007771686176112387,0.9360684223030551,313,adam,cosine,-0.7664,RandomSearch,0
18,-0.1562,1762.9269399642944,RandomSearch,0.09249797130078236,0.00494448016607427,0.6304038334232234,143,adam,none,-0.7664,RandomSearch,0
19,-0.7906,1981.418313741684,RandomSearch,0.0001412042945845916,0.0008472757617947993,0.8010428910050084,35,adamw,cosine,-0.7906,RandomSearch,0
20,-0.1,2003.9397184848785,RandomSearch,0.06362649831211264,0.00011246953330982432,0.955261068190533,38,rmsprop,cosine,-0.7906,RandomSearch,0
21,-0.7092,2074.0121128559113,RandomSearch,0.00187755333970088,5.262534158297087e-05,0.9733704195841943,152,adam,cosine,-0.7906,RandomSearch,0
22,-0.3328,2143.0693407058716,RandomSearch,0.19280710263602166,8.007145378467724e-06,0.5610318058592889,71,adamw,step,-0.7906,RandomSearch,0
23,-0.1,2165.119907617569,RandomSearch,0.09887713458981569,0.00017454355132282473,0.6413263950712931,101,rmsprop,step,-0.7906,RandomSearch,0
24,-0.1,2189.1853857040405,RandomSearch,0.3528575644727869,3.0034308985545965e-05,0.7707796401554308,166,rmsprop,cosine,-0.7906,RandomSearch,0
25,-0.4416,2265.640937566757,RandomSearch,0.003189110313785277,0.004363508704477387,0.5211027753984201,314,adam,none,-0.7906,RandomSearch,0
26,-0.5948,2340.922751188278,RandomSearch,0.00010884829279245696,2.8852578482466113e-05,0.5385287182111635,196,adam,none,-0.7906,RandomSearch,0
27,-0.1,2354.118835926056,RandomSearch,0.30980838535337696,3.2156473061397355e-06,0.9237413647463792,38,adam,step,-0.7906,RandomSearch,0
28,-0.3526,2422.7722628116608,RandomSearch,0.006430426970504868,0.0080509900098518,0.8800886821698959,75,adam,none,-0.7906,RandomSearch,0
29,-0.1086,2507.9659407138824,RandomSearch,0.1819402539519901,0.0001103636415969082,0.6687049081715394,506,adam,cosine,-0.7906,RandomSearch,0
30,-0.1,2533.5119466781616,RandomSearch,0.1800762970452387,0.0017755855108959745,0.827265808729962,457,rmsprop,none,-0.7906,RandomSearch,0
31,-0.4586,2607.5712718963623,RandomSearch,0.152654178555853,9.740628080156152e-06,0.5692108128815054,205,adamw,cosine,-0.7906,RandomSearch,0
32,-0.5692,2683.5948493480682,RandomSearch,0.0029050558637048578,0.004375453420547461,0.7750863760996092,159,sgd,step,-0.7906,RandomSearch,0
33,-0.726,2758.1631293296814,RandomSearch,0.008633151372965442,2.2685197309224004e-06,0.981151919632086,156,sgd,none,-0.7906,RandomSearch,0
34,-0.4018,2829.807727098465,RandomSearch,0.41550430876801303,0.00022881269338845527,0.6566440017785058,54,adamw,cosine,-0.7906,RandomSearch,0
35,-0.5624,2905.9937636852264,RandomSearch,0.013704089499757394,0.00025642283978270834,0.9715873156309467,39,adam,none,-0.7906,RandomSearch,0
36,-0.2752,2978.3553714752197,RandomSearch,0.0004524352112341422,3.566702836352584e-05,0.530818794242936,240,sgd,step,-0.7906,RandomSearch,0
37,-0.1,3005.357831954956,RandomSearch,0.17026838259641855,7.748209359427366e-05,0.9471847474840339,268,rmsprop,cosine,-0.7906,RandomSearch,0
38,-0.7338,3078.1246466636658,RandomSearch,0.00018711430043687015,1.9111950603741767e-06,0.9257386042301865,186,adam,cosine,-0.7906,RandomSearch,0
39,-0.5802,3145.246129989624,RandomSearch,0.0310541593411897,1.8709817503186392e-05,0.8483311330003129,115,adamw,none,-0.7906,RandomSearch,0
40,-0.6734,3222.0242743492126,RandomSearch,0.00022032446894352994,0.0002065541919628481,0.5966451241749756,301,adam,none,-0.7906,RandomSearch,0
41,-0.5544,3299.688311100006,RandomSearch,0.0004750090352017836,0.007113389024440455,0.8924493479382184,122,rmsprop,step,-0.7906,RandomSearch,0
42,-0.537,3377.563725709915,RandomSearch,0.02650166530687809,0.004516094809881259,0.5319825040415328,325,adam,cosine,-0.7906,RandomSearch,0
43,-0.1,3400.7754333019257,RandomSearch,0.475198663165754,0.0013327908677734294,0.737912218001998,103,rmsprop,cosine,-0.7906,RandomSearch,0
44,-0.1,3425.1677606105804,RandomSearch,0.04172724697329618,0.0014342289840330751,0.8916062260608962,78,rmsprop,cosine,-0.7906,RandomSearch,0
45,-0.7486,3500.5630960464478,RandomSearch,0.0021885992253821377,4.675116620762672e-05,0.7652908919787806,44,adam,cosine,-0.7906,RandomSearch,0
46,-0.1036,3573.9174194335938,RandomSearch,0.056681584026977434,0.0025556633736269463,0.5680765227688968,226,rmsprop,none,-0.7906,RandomSearch,0
47,-0.349,3648.9503235816956,RandomSearch,0.13217702727242764,4.970796018182886e-05,0.9800474671697317,477,adamw,none,-0.7906,RandomSearch,0
48,-0.3698,3723.019382953644,RandomSearch,0.24002590815738556,8.027647386064188e-05,0.9232552581375716,224,adam,none,-0.7906,RandomSearch,0
49,-0.663,3789.1859691143036,RandomSearch,0.012910584509799245,2.373452877881346e-06,0.6917764088892855,39,adam,step,-0.7906,RandomSearch,0
50,-0.6098,3865.67111825943,RandomSearch,0.0036931087063531687,0.0002214121322789564,0.5601184234862759,427,adamw,none,-0.7906,RandomSearch,0
51,-0.2898,3939.096466064453,RandomSearch,0.20760645754094925,0.00021541710629112984,0.5197069282432544,230,adamw,none,-0.7906,RandomSearch,0
52,-0.6876,4008.4589042663574,RandomSearch,0.009299200869184248,0.0017905084769016442,0.9885350436055209,85,sgd,step,-0.7906,RandomSearch,0
53,-0.5008,4083.857465982437,RandomSearch,0.06102521585843506,5.7136775499760596e-05,0.7883062536203153,46,adamw,cosine,-0.7906,RandomSearch,0
54,-0.6814,4159.150562286377,RandomSearch,0.0005070941941563889,0.0028300883548573862,0.7765622823490911,123,rmsprop,cosine,-0.7906,RandomSearch,0
55,-0.496,4232.626450538635,RandomSearch,0.037588451100155164,2.0508276260835504e-05,0.5859507774926898,208,adam,cosine,-0.7906,RandomSearch,0
56,-0.58,4299.156636238098,RandomSearch,0.30948225123553563,6.268929166569864e-06,0.7509650923404902,34,sgd,none,-0.7906,RandomSearch,0
57,-0.6896,4372.77147769928,RandomSearch,0.08306211914702928,0.0001687881527542155,0.6090021640357666,150,sgd,none,-0.7906,RandomSearch,0
58,-0.6794,4436.661177635193,RandomSearch,0.04479600330262316,0.0003838663951185586,0.7995559552948486,39,sgd,step,-0.7906,RandomSearch,0
59,-0.7164,4515.141909360886,RandomSearch,0.002871342661764525,0.009291651540287287,0.9526352251138388,49,adamw,none,-0.7906,RandomSearch,0
60,-0.7328,4595.978797912598,RandomSearch,0.0003199410706460886,1.7798466619224123e-05,0.8507997449934922,390,adam,cosine,-0.7906,RandomSearch,0
1,-0.4192,83.46413683891296,Bayes,0.01559245358901932,0.0023826650493636676,0.9203933526351509,335,adamw,step,-0.4192,Bayes,0
2,-0.5756,157.91113114356995,Bayes,0.0012605834030249138,1.6859780231705853e-06,0.6336015843442555,120,rmsprop,step,-0.5756,Bayes,0
3,-0.4746,238.9249439239502,Bayes,0.0028372602846204586,0.0022096070868729595,0.6653241186044615,193,adam,none,-0.5756,Bayes,0
4,-0.7124,326.8260781764984,Bayes,0.0003304861979593933,0.0030223797682839186,0.7320679421841182,295,adamw,none,-0.7124,Bayes,0
5,-0.6896,416.0328457355499,Bayes,0.04630187455167124,0.00021285270235317323,0.7633128824300153,262,sgd,step,-0.7124,Bayes,0
6,-0.657,478.3152754306793,Bayes,0.12375409057656457,5.96760205457231e-06,0.6511799941394205,122,sgd,cosine,-0.7124,Bayes,0
7,-0.281,564.9001924991608,Bayes,0.49999999999999994,0.01,0.7322458317871132,41,sgd,cosine,-0.7124,Bayes,0
8,-0.452,652.417786359787,Bayes,0.0012446382078218172,2.8698439011190026e-06,0.6575946664454767,298,sgd,none,-0.7124,Bayes,0
9,-0.676,741.5473027229309,Bayes,0.000420855017663512,0.006847183723742797,0.7428258405137805,288,adamw,none,-0.7124,Bayes,0
10,-0.6786,809.309068441391,Bayes,0.0002708119803516223,0.0015412110172259594,0.7232179054770649,301,adamw,none,-0.7124,Bayes,0
11,-0.1,842.7284028530121,Bayes,0.49999999999999994,1.4164894114768314e-06,0.5,188,adam,cosine,-0.7124,Bayes,0
12,-0.7344,923.9844346046448,Bayes,0.0007515931785685688,2.3862327254630493e-06,0.5256812183314433,90,adamw,none,-0.7344,Bayes,0
13,-0.4612,1012.032027721405,Bayes,0.07348634246545757,3.7002962288326476e-06,0.99,32,adamw,none,-0.7344,Bayes,0
14,-0.5946,1074.610404253006,Bayes,0.0020188965074427762,8.45340242739122e-06,0.5,62,sgd,cosine,-0.7344,Bayes,0
15,-0.7972,1169.4033875465393,Bayes,0.0005255192679651982,0.005231634434799045,0.5,124,adamw,cosine,-0.7972,Bayes,0
