dataset,model,tuner,seed,best_loss,n_evals,elapsed,stopped,error,best_lr,best_weight_decay,best_momentum,best_batch_size,best_optim,best_scheduler
cifar10,ResNet18-CIFAR10,GridSearch,0,-0.7914,12,862.8687212467194,budget,,0.00010000000000000009,1.0000000000000004e-06,0.5,32,rmsprop,cosine
cifar10,ResNet18-CIFAR10,RandomSearch,0,-0.7906,60,4595.9805123806,budget,,0.0001412042945845916,0.0008472757617947993,0.8010428910050084,35,adamw,cosine
cifar10,ResNet18-CIFAR10,Bayes,0,-0.8204,60,4446.253653049469,budget,,0.0002944229437507925,0.005367221311730698,0.6922179641853021,32,adam,cosine
cifar10,ResNet18-CIFAR10,Optuna-TPE,0,-0.8156,60,4222.6657910346985,budget,,0.0005248651859561607,6.727168624489157e-05,0.9282196344497212,47,adam,cosine
cifar10,ResNet18-CIFAR10,DE,0,-0.7934,60,3855.367731332779,budget,,0.00023553627348641968,1.7055433619997847e-05,0.7104386267257776,77,adamw,cosine
cifar10,ResNet18-CIFAR10,PSO,0,-0.8118,60,3737.915303468704,budget,,0.00040010405610090314,2.5765903430524257e-05,0.8488687029945783,55,adam,cosine
cifar10,ResNet18-CIFAR10,HDGPSO,0,-0.8186,60,4095.4086079597473,budget,,0.00019032777857126742,0.010000000000000004,0.592142839150661,32,adam,cosine
cifar10,ResNet18-CIFAR10,SMAC,0,-0.7942,60,3830.8397030830383,budget,,0.0187174824584,0.0020927141251,0.5663606257009,48,sgd,cosine
cifar10,ResNet18-CIFAR10,GridSearch,1,-0.8004,12,838.1512322425842,budget,,0.00010000000000000009,1.0000000000000004e-06,0.5,32,rmsprop,cosine
cifar10,ResNet18-CIFAR10,RandomSearch,1,-0.7814,60,3897.106435775757,budget,,0.00044161195787801357,8.7260128794783e-05,0.6843856770741626,180,adam,cosine
cifar10,ResNet18-CIFAR10,Bayes,1,-0.8214,60,4267.56889295578,budget,,0.00033775430507212837,0.01,0.5,44,adam,cosine
cifar10,ResNet18-CIFAR10,Optuna-TPE,1,-0.8152,60,3956.043731689453,budget,,0.0004989256993046267,0.0004008400606681548,0.8760572443611695,32,adamw,cosine
cifar10,ResNet18-CIFAR10,DE,1,-0.8056,60,3807.316675901413,budget,,0.000351880541317155,0.005271633687471913,0.5945982159541257,50,adamw,cosine
cifar10,ResNet18-CIFAR10,PSO,1,-0.815,60,4036.334656715393,budget,,0.0004130266190069869,9.484029293284067e-06,0.5652767998561441,60,adamw,cosine
cifar10,ResNet18-CIFAR10,HDGPSO,1,-0.7788,60,3778.0724725723267,budget,,0.0003017741679637411,7.526654430175411e-06,0.99,33,adamw,none
cifar10,ResNet18-CIFAR10,SMAC,1,-0.81,60,3803.5908830165863,budget,,0.0205067773849,0.0008497678989,0.7027026813215,48,sgd,cosine
cifar10,ResNet18-CIFAR10,GridSearch,2,-0.7936,12,863.0465936660767,budget,,0.00010000000000000009,1.0000000000000004e-06,0.5,32,rmsprop,cosine
cifar10,ResNet18-CIFAR10,RandomSearch,2,-0.7928,60,3388.9351909160614,budget,,0.019267526155403447,4.315088928506729e-06,0.6259550198415,50,sgd,cosine
cifar10,ResNet18-CIFAR10,Bayes,2,-0.8264,60,4001.929979324341,budget,,0.025139112261490085,0.01,0.55017310946598,32,sgd,cosine
cifar10,ResNet18-CIFAR10,Optuna-TPE,2,-0.819,60,4035.977786064148,budget,,0.0003436542564424399,0.009884953388056382,0.9060750286107251,32,adamw,cosine
cifar10,ResNet18-CIFAR10,DE,2,-0.7938,60,3703.8639209270477,budget,,0.019934291720578725,1.3746353363235303e-05,0.8267712634622535,101,sgd,cosine
cifar10,ResNet18-CIFAR10,PSO,2,-0.7946,60,4182.184323787689,budget,,0.0004897525322560455,2.572957318472321e-05,0.9114473867888936,207,adam,cosine
cifar10,ResNet18-CIFAR10,HDGPSO,2,-0.8132,60,4227.001703977585,budget,,0.0004439711716258054,1.3940849337021276e-06,0.922299038920442,41,adam,cosine
cifar10,ResNet18-CIFAR10,SMAC,2,-0.7666,60,4037.0361046791077,budget,,0.0011125018683,2.2648617e-06,0.7242990195416,40,adamw,none
