dataset,model,tuner,seed,best_loss,n_evals,elapsed,stopped,error
breast_cancer,RandomForest,SMAC,0,-0.9613199665831246,60,82.19768500328064,budget,
breast_cancer,RandomForest,SMAC,1,-0.9596027104799035,60,51.63652324676514,budget,
breast_cancer,RandomForest,SMAC,2,-0.9578297595841455,60,54.36719608306885,budget,
breast_cancer,GradientBoosting,SMAC,0,-0.977155852594449,60,131.08043718338013,budget,
breast_cancer,GradientBoosting,SMAC,1,-0.9771651350598719,60,103.06286072731018,budget,
breast_cancer,GradientBoosting,SMAC,2,-0.9754014666295369,60,108.64595699310303,budget,
breast_cancer,MLP,SMAC,0,-0.9824561476707458,60,51.0141077041626,budget,
breast_cancer,MLP,SMAC,1,-0.9912281036376953,60,42.565064668655396,budget,
breast_cancer,MLP,SMAC,2,-0.9912281036376953,60,38.76670718193054,budget,
wine,RandomForest,SMAC,0,-0.9606403013182674,60,56.04982376098633,budget,
wine,RandomForest,SMAC,1,-0.9608286252354049,60,41.222312927246094,budget,
wine,RandomForest,SMAC,2,-0.9494350282485876,60,76.58733296394348,budget,
wine,GradientBoosting,SMAC,0,-0.9607344632768361,60,114.49986958503723,budget,
wine,GradientBoosting,SMAC,1,-0.9551789077212806,60,94.79942917823792,budget,
wine,GradientBoosting,SMAC,2,-0.9609227871939736,60,135.39316964149475,budget,
wine,MLP,SMAC,0,-1.0,60,35.20179986953735,budget,
wine,MLP,SMAC,1,-1.0,60,35.02172064781189,budget,
wine,MLP,SMAC,2,-1.0,60,33.56544232368469,budget,
diabetes,RandomForest,SMAC,0,3098.2153466560044,60,64.07117104530334,budget,
diabetes,RandomForest,SMAC,1,3099.007151968924,60,63.72379446029663,budget,
diabetes,RandomForest,SMAC,2,3089.646997843772,60,60.57232856750488,budget,
diabetes,GradientBoosting,SMAC,0,3165.993346307177,60,40.61136198043823,budget,
diabetes,GradientBoosting,SMAC,1,3190.880831781789,60,50.24026536941528,budget,
diabetes,GradientBoosting,SMAC,2,3117.8987506518497,60,42.15477728843689,budget,
pinn_heat,PINN-Heat,SMAC,0,5.3189641135986676e-08,60,401.59872341156006,budget,
pinn_heat,PINN-Heat,SMAC,1,2.974117251142161e-06,60,238.31380605697632,budget,
pinn_heat,PINN-Heat,SMAC,2,1.8088900333168567e-07,60,498.7213282585144,budget,
