dataset,model,tuner,seed,best_loss,n_evals,elapsed,stopped,error,budget
breast_cancer,RandomForest,SMAC,0,-0.9578390420495684,20,42.45514750480652,budget,,20
breast_cancer,RandomForest,SMAC,1,-0.9560753736192332,20,20.80798482894897,budget,,20
breast_cancer,RandomForest,SMAC,2,-0.956084656084656,20,14.945493936538696,budget,,20
breast_cancer,GradientBoosting,SMAC,0,-0.9718926946997124,20,56.66722011566162,budget,,20
breast_cancer,GradientBoosting,SMAC,1,-0.9754107490949596,20,47.17867422103882,budget,,20
breast_cancer,GradientBoosting,SMAC,2,-0.9701290262693772,20,46.32003903388977,budget,,20
breast_cancer,MLP,SMAC,0,-0.9824561476707458,20,15.556923627853394,budget,,20
breast_cancer,MLP,SMAC,1,-0.9912281036376952,20,11.65168833732605,budget,,20
breast_cancer,MLP,SMAC,2,-0.9912281036376952,20,12.133463144302368,budget,,20
wine,RandomForest,SMAC,0,-0.955084745762712,20,23.15643882751465,budget,,20
wine,RandomForest,SMAC,1,-0.9495291902071564,20,18.29398393630981,budget,,20
wine,RandomForest,SMAC,2,-0.9382297551789076,20,17.73490285873413,budget,,20
wine,GradientBoosting,SMAC,0,-0.9495291902071564,20,39.35587120056152,budget,,20
wine,GradientBoosting,SMAC,1,-0.949623352165725,20,40.05093193054199,budget,,20
wine,GradientBoosting,SMAC,2,-0.9609227871939736,20,37.70892930030823,budget,,20
wine,MLP,SMAC,0,-1.0,20,9.133283853530884,budget,,20
wine,MLP,SMAC,1,-1.0,20,10.111425161361694,budget,,20
wine,MLP,SMAC,2,-1.0,20,10.652661323547363,budget,,20
diabetes,RandomForest,SMAC,0,3142.040152133722,20,23.17365837097168,budget,,20
diabetes,RandomForest,SMAC,1,3104.366523090612,20,19.547062158584595,budget,,20
diabetes,RandomForest,SMAC,2,3104.2269402439574,20,19.210154056549072,budget,,20
diabetes,GradientBoosting,SMAC,0,3459.22449939258,20,16.640191793441772,budget,,20
diabetes,GradientBoosting,SMAC,1,3200.1776586043675,20,18.111621856689453,budget,,20
diabetes,GradientBoosting,SMAC,2,3124.2467906641277,20,14.375588655471802,budget,,20
pinn_heat,PINN-Heat,SMAC,0,3.249391284043668e-06,20,92.17680549621582,budget,,20
pinn_heat,PINN-Heat,SMAC,1,5.491537012858316e-05,20,85.06080293655396,budget,,20
pinn_heat,PINN-Heat,SMAC,2,8.508707765031431e-07,20,131.8875277042389,budget,,20
breast_cancer,RandomForest,SMAC,0,-0.9595841455490578,40,69.42050743103027,budget,,40
breast_cancer,RandomForest,SMAC,1,-0.9560753736192332,40,37.809632539749146,budget,,40
breast_cancer,RandomForest,SMAC,2,-0.956084656084656,40,36.69195246696472,budget,,40
breast_cancer,GradientBoosting,SMAC,0,-0.9736377981992016,40,89.51649117469788,budget,,40
breast_cancer,GradientBoosting,SMAC,1,-0.977165135059872,40,88.96192526817322,budget,,40
breast_cancer,GradientBoosting,SMAC,2,-0.9736377981992016,40,99.60782551765442,budget,,40
breast_cancer,MLP,SMAC,0,-0.9824561476707458,40,34.10715889930725,budget,,40
breast_cancer,MLP,SMAC,1,-0.9912281036376952,40,28.239301443099976,budget,,40
breast_cancer,MLP,SMAC,2,-0.9912281036376952,40,27.751218795776367,budget,,40
wine,RandomForest,SMAC,0,-0.955084745762712,40,40.303744077682495,budget,,40
wine,RandomForest,SMAC,1,-0.949623352165725,40,37.42920565605164,budget,,40
wine,RandomForest,SMAC,2,-0.943879472693032,40,37.80066823959351,budget,,40
wine,GradientBoosting,SMAC,0,-0.971939736346516,40,67.61800909042358,budget,,40
wine,GradientBoosting,SMAC,1,-0.955367231638418,40,61.33369874954224,budget,,40
wine,GradientBoosting,SMAC,2,-0.9609227871939736,40,82.39201307296753,budget,,40
wine,MLP,SMAC,0,-1.0,40,20.39467763900757,budget,,40
wine,MLP,SMAC,1,-1.0,40,21.26601243019104,budget,,40
wine,MLP,SMAC,2,-1.0,40,21.30176424980164,budget,,40
diabetes,RandomForest,SMAC,0,3110.308088555459,40,39.86095714569092,budget,,40
diabetes,RandomForest,SMAC,1,3104.366523090612,40,40.746663093566895,budget,,40
diabetes,RandomForest,SMAC,2,3076.70560097226,40,37.89386987686157,budget,,40
diabetes,GradientBoosting,SMAC,0,3195.6450771973214,40,30.839343547821045,budget,,40
diabetes,GradientBoosting,SMAC,1,3151.4994642540146,40,33.50064849853516,budget,,40
diabetes,GradientBoosting,SMAC,2,3124.2467906641277,40,30.18244194984436,budget,,40
pinn_heat,PINN-Heat,SMAC,0,1.3982760265207617e-06,40,194.8599512577057,budget,,40
pinn_heat,PINN-Heat,SMAC,1,2.077544195344672e-06,40,256.1711792945862,budget,,40
pinn_heat,PINN-Heat,SMAC,2,3.0801692219029064e-07,40,294.132670879364,budget,,40
breast_cancer,RandomForest,SMAC,0,-0.9631021999443052,100,165.36437010765076,budget,,100
breast_cancer,RandomForest,SMAC,1,-0.9560753736192332,100,107.19242477416992,budget,,100
breast_cancer,RandomForest,SMAC,2,-0.9578297595841456,100,158.89150047302246,budget,,100
breast_cancer,GradientBoosting,SMAC,0,-0.9789102385593612,100,227.25260877609253,budget,,100
breast_cancer,GradientBoosting,SMAC,1,-0.977165135059872,100,240.04039859771729,budget,,100
breast_cancer,GradientBoosting,SMAC,2,-0.977165135059872,100,239.95733428001404,budget,,100
breast_cancer,MLP,SMAC,0,-0.9824561476707458,100,82.29382681846619,budget,,100
breast_cancer,MLP,SMAC,1,-0.9912281036376952,100,64.12354707717896,budget,,100
breast_cancer,MLP,SMAC,2,-0.9912281036376952,100,71.27930426597595,budget,,100
wine,RandomForest,SMAC,0,-0.955084745762712,100,94.37369537353516,budget,,100
wine,RandomForest,SMAC,1,-0.960734463276836,100,94.49608087539671,budget,,100
wine,RandomForest,SMAC,2,-0.943879472693032,100,86.49603080749512,budget,,100
wine,GradientBoosting,SMAC,0,-0.9775894538606404,100,136.47086691856384,budget,,100
wine,GradientBoosting,SMAC,1,-0.9609227871939736,100,180.6238441467285,budget,,100
wine,GradientBoosting,SMAC,2,-0.9609227871939736,100,191.79767298698425,budget,,100
wine,MLP,SMAC,0,-1.0,100,55.24797224998474,budget,,100
wine,MLP,SMAC,1,-1.0,100,55.02527928352356,budget,,100
wine,MLP,SMAC,2,-1.0,100,58.17184066772461,budget,,100
diabetes,RandomForest,SMAC,0,3089.0275135488832,100,94.01031398773192,budget,,100
diabetes,RandomForest,SMAC,1,3081.647154432712,100,95.80700778961182,budget,,100
diabetes,RandomForest,SMAC,2,3076.70560097226,100,94.82736444473268,budget,,100
diabetes,GradientBoosting,SMAC,0,3101.632550541272,100,87.25148224830627,budget,,100
diabetes,GradientBoosting,SMAC,1,3107.9563450024693,100,84.94526410102844,budget,,100
diabetes,GradientBoosting,SMAC,2,3095.8220382487366,100,87.70071029663086,budget,,100
pinn_heat,PINN-Heat,SMAC,0,4.296030056138989e-07,100,520.116311788559,budget,,100
pinn_heat,PINN-Heat,SMAC,1,2.2985511805018177e-07,100,748.0846185684204,budget,,100
pinn_heat,PINN-Heat,SMAC,2,3.0183880284084814e-08,100,802.4435133934021,budget,,100
breast_cancer,RandomForest,SMAC,0,-0.9613199665831246,60,82.19768500328064,budget,,60
breast_cancer,RandomForest,SMAC,1,-0.9596027104799036,60,51.63652324676514,budget,,60
breast_cancer,RandomForest,SMAC,2,-0.9578297595841456,60,54.36719608306885,budget,,60
breast_cancer,GradientBoosting,SMAC,0,-0.977155852594449,60,131.08043718338013,budget,,60
breast_cancer,GradientBoosting,SMAC,1,-0.977165135059872,60,103.06286072731018,budget,,60
breast_cancer,GradientBoosting,SMAC,2,-0.9754014666295368,60,108.64595699310304,budget,,60
breast_cancer,MLP,SMAC,0,-0.9824561476707458,60,51.0141077041626,budget,,60
breast_cancer,MLP,SMAC,1,-0.9912281036376952,60,42.5650646686554,budget,,60
breast_cancer,MLP,SMAC,2,-0.9912281036376952,60,38.76670718193054,budget,,60
wine,RandomForest,SMAC,0,-0.9606403013182674,60,56.04982376098633,budget,,60
wine,RandomForest,SMAC,1,-0.9608286252354048,60,41.222312927246094,budget,,60
wine,RandomForest,SMAC,2,-0.9494350282485876,60,76.58733296394348,budget,,60
wine,GradientBoosting,SMAC,0,-0.960734463276836,60,114.49986958503725,budget,,60
wine,GradientBoosting,SMAC,1,-0.9551789077212806,60,94.79942917823792,budget,,60
wine,GradientBoosting,SMAC,2,-0.9609227871939736,60,135.39316964149475,budget,,60
wine,MLP,SMAC,0,-1.0,60,35.20179986953735,budget,,60
wine,MLP,SMAC,1,-1.0,60,35.02172064781189,budget,,60
wine,MLP,SMAC,2,-1.0,60,33.56544232368469,budget,,60
diabetes,RandomForest,SMAC,0,3098.2153466560044,60,64.07117104530334,budget,,60
diabetes,RandomForest,SMAC,1,3099.007151968924,60,63.72379446029663,budget,,60
diabetes,RandomForest,SMAC,2,3089.646997843772,60,60.57232856750488,budget,,60
diabetes,GradientBoosting,SMAC,0,3165.993346307177,60,40.61136198043823,budget,,60
diabetes,GradientBoosting,SMAC,1,3190.880831781789,60,50.24026536941528,budget,,60
diabetes,GradientBoosting,SMAC,2,3117.8987506518497,60,42.15477728843689,budget,,60
pinn_heat,PINN-Heat,SMAC,0,5.318964113598668e-08,60,401.59872341156006,budget,,60
pinn_heat,PINN-Heat,SMAC,1,2.974117251142161e-06,60,238.31380605697632,budget,,60
pinn_heat,PINN-Heat,SMAC,2,1.808890033316857e-07,60,498.7213282585144,budget,,60
